protein,pi* >= 0.01,0.001 <= pi* < 0.01,0.0001 <= pi* < 0.001,pi* < 0.0001,D* >= 3,2 <= D* < 3,1 <= D* < 2,0 <= D* < 1,D* < 0,total,p0.01,p0.001,p2,p1,p_pi_lowest,p_d_lowest
"Pfs230.D1,D2",0,117,37,71,0,0,0,20,205,225,0,52,0,0,31.555555555555554,91.11111111111111
"Pfs230.D3,D4",9,105,60,68,0,1,6,48,187,242,3.71900826446281,47.107438016528924,0.4132231404958678,2.8925619834710745,28.09917355371901,77.27272727272727
"Pfs230.D5,D6",0,43,70,78,0,0,0,0,191,191,0,22.5130890052356,0,0,40.83769633507853,100
"Pfs230.D7,D8",0,115,43,62,0,0,6,28,186,220,0,52.27272727272727,0,2.727272727272727,28.18181818181818,84.54545454545455
"Pfs230.D9,D10",0,0,97,105,0,0,0,0,202,202,0,0,0,0,51.98019801980198,100
"Pfs230.D11,D12",0,35,85,144,0,0,0,1,263,264,0,13.257575757575758,0,0,54.54545454545454,99.62121212121212
"Pfs230.D13,D14",0,41,81,55,0,0,4,9,164,177,0,23.163841807909606,0,2.2598870056497176,31.07344632768362,92.65536723163842
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
    ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
     ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
