sample	fws
PA0134C	0.957
PA0137C	0.966
PA0138C	0.3
PA0140C	0.946
PA0144C	0.996
PA0145C	0.584
PA0146C	0.451
PA0147C	0.425
PA0148C	0.91
PA0149C	0.985
PA0151C	0.992
PA0152C	0.994
PA0153C	0.736
PA0155C	0.474
PA0157C	0.987
PA0158C	0.991
PA0159C	0.983
PA0160C	0.463
PA0161C	0.993
PA0163C	0.642
PA0165C	0.988
PA0167C	0.991
PA0168C	0.985
PA0169C	0.986
PA0171C	0.769
PA0172C	0.984
PA0173C	0.963
PA0176C	0.988
PA0177C	0.899
PA0178C	0.829
PA0179C	0.63
PA0180C	0.996
PA0182C	0.961
PA0183C	0.99
PA0184C	0.941
PA0185C	0.878
PA0186C	0.986
PA0187C	0.968
PA0188C	0.904
PA0189C	0.985
PA0190C	0.984
PA0191C	0.543
PA0193C	0.862
PA0195C	0.988
PA0197C	0.991
PA0198C	0.849
PA0199C	0.911
PA0200C	0.992
PA0201C	0.986
PA0202C	0.986
PA0203C	0.995
PA0204C	0.991
PA0205C	0.981
PA0206C	0.821
PA0207C	0.994
PA0208C	0.991
PA0209C	0.896
PA0210C	0.473
PA0211C	0.99
PA0212C	0.759
PA0213C	0.927
PA0214C	0.884
PA0215C	0.965
PA0216C	0.864
PA0217C	0.715
PA0218C	0.667
PA0219C	0.989
PA0220C	0.568
PA0221C	0.994
PA0222C	0.321
PA0223C	0.966
PA0224C	0.468
PA0225C	0.984
PA0227C	0.584
PA0228C	0.537
PA0229C	0.975
PA0230C	0.465
PA0231C	0.329
PA0232C	0.985
PA0233C	0.261
PA0234C	0.425
PA0237C	0.99
PA0239C	0.332
PA0243C	0.397
PA0245C	0.989
PA0246C	0.804
PA0249C	0.385
PA0251C	0.778
PA0253C	0.432
PA0254C	0.987
PA0255C	0.417
PA0256C	0.99
PA0257C	0.32
PA0260C	0.94
PA0261C	0.987
PA0262C	0.994
PA0263C	0.568
PA0267C	0.864
PA0269C	0.785
PA0270C	0.987
PE0002CW	0.772
PE0009C	0.987
PE0010C	0.948
PE0011C	0.992
PE0012C	0.997
PE0013C	0.992
PE0016C	0.551
PE0017C	0.968
PE0018C	0.952
PE0019C	0.997
PE0020C	0.995
PE0021C	0.99
PE0022C	0.994
PE0023C	0.63
PE0024C	0.994
PE0025C	0.594
PE0027C	0.398
PE0028C	0.974
PE0030C	0.731
PE0087C	0.927
PE0088C	0.852
PE0089C	0.991
PE0090C	0.992
PE0091C	0.996
PE0092C	0.983
PE0093C	0.266
PE0096C	0.741
PE0098C	0.533
PE0102C	0.973
PE0103C	0.985
PE0105C	0.547
PE0108C	0.956
PE0109C	0.996
PE0111C	0.991
PE0113C	0.833
PE0114C	0.993
PE0115C	0.987
PE0116C	0.929
PE0117C	0.7
PE0119C	0.993
PE0121C	0.455
PE0122C	0.624
PE0123C	0.616
PE0124C	0.833
PE0125C	0.771
PE0126C	0.982
PE0127C	0.798
PE0128C	0.993
PE0129C	0.472
PE0130C	0.991
PE0131C	0.961
PE0132C	0.85
PE0133C	0.99
PE0134C	0.989
PE0135C	0.96
PE0136C	0.993
PE0137C	0.751
PE0138C	0.835
PE0139C	0.99
PE0140C	0.993
