protein,pi* >= 0.01,0.001 <= pi* < 0.01,0.0001 <= pi* < 0.001,pi* < 0.0001,D* >= 3,2 <= D* < 3,1 <= D* < 2,0 <= D* < 1,D* < 0,total,p0.01,p0.001,p2,p1,p_pi_lowest,p_d_lowest
"Pfs230.D1,D2",0,212,40,87,0,0,0,32,307,339,0,62.53687315634219,0,0,25.663716814159294,90.56047197640117
"Pfs230.D3,D4",9,177,89,89,0,1,8,80,275,364,2.4725274725274726,51.098901098901095,0.27472527472527475,2.4725274725274726,24.45054945054945,75.54945054945054
"Pfs230.D5,D6",0,50,113,119,0,0,0,0,282,282,0,17.73049645390071,0,0,42.198581560283685,100
"Pfs230.D7,D8",0,187,68,93,0,0,6,51,291,348,0,53.735632183908045,0,1.7241379310344827,26.72413793103448,83.62068965517241
"Pfs230.D9,D10",0,0,162,167,0,0,0,0,329,329,0,0,0,0,50.75987841945289,100
"Pfs230.D11,D12",0,40,148,198,0,0,0,1,385,386,0,10.362694300518134,0,0,51.29533678756477,99.74093264248705
"Pfs230.D13,D14",0,80,134,75,0,0,4,9,276,289,0,27.68166089965398,0,1.384083044982699,25.951557093425603,95.50173010380622
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
   ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
    ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
     ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
